COMMIT_HASH,REFACTORING_TYPE,COMMIT_DAY,LINES_ADDED,LINES_REMOVED,LINES_ADDED_LAST_COMMITS,LINES_REMOVED_LAST_COMMITS,LABEL
23df647cf944b6c33ab23f0433305c153e247839,Move Class,6421,19,14,957,42,0
0a2576bbf0225626c1e2af1ade360ac15675fb65,Move Class,6420,21,16,939,32,0
a0dd0a5298bb8447511759a869956ac448220db5,Move Source Folder,6170,40,3,1101,29,0
1661dbe6278577d344ebe1592308671a7c27bef2,Move Source Folder,6169,108,1,996,31,0
49d15d8f0c66f1b41c1aab24430f129388826e89,Move Source Folder,5625,748,22,294,9,0
49d15d8f0c66f1b41c1aab24430f129388826e89,Rename Method,5625,748,22,294,9,0
7c8f368d5ac2d312b6d64602ee91c426e2f49d11,Move Source Folder,5623,40,0,312,9,0
75c364438d3f9658d81079f2a7fce3d643bd3591,Move Class,5566,3,6,365,3,0
75c364438d3f9658d81079f2a7fce3d643bd3591,Move Source Folder,5566,3,6,365,3,0
ff5f4303ef57bf7cce290c547f2a4d820429d8a9,Move Source Folder,5566,202,0,305,3,0
8d3c42b8c481282eadaa5b652811ac26c1ee2cd8,Move Source Folder,5565,3,3,527,14,0
16804a286b70636120794b94089180656eaa12c1,Move Source Folder,5565,46,0,483,15,0
a9f11fc4f5062087277ee7038490d6aaa372e242,Move Source Folder,5565,58,0,520,15,0
ae1090ee12a0321d2ff5c9421b7a9fcfd0f6a9db,Move Source Folder,5565,56,0,516,15,0
ccee1595ecb4171f5a912d59e3e7aab134967459,Move Source Folder,5565,142,0,459,15,0
a29f879ea7cb08ea12d1149157c1ec41ba2f2ff3,Move Source Folder,5565,225,14,285,1,0
7eaff809631a32161dcd1b90d3437d6e4f3afbff,Move Source Folder,5565,2,1,387,2,0
697ebe4291c77e6d94d5a2c440c5e22af65d4718,Move Source Folder,5565,95,0,374,2,0
d046d025c91763fd8b1021746f3b95b80a3e66d8,Move Source Folder,5565,52,0,407,7,0
639b6f01baa7f8795dae0fb2c44ae23c6a4cab52,Move Source Folder,5565,85,0,403,7,0
96f38ca3062112d52d961a08b9ba73c1ae94b95c,Move Source Folder,5565,51,0,428,7,0
1c1575d1c0ef50a256158815ce760a7d6caffc86,Move Source Folder,5565,104,2,385,5,0
88eb09841d382c028ab0f06d475efc602d0bc2c0,Move Source Folder,5565,82,0,378,5,0
3d699129865ceb94461ffdaff5ac5ea50c9152d0,Move Source Folder,5565,85,5,350,7,0
a9c4a6373d2a1c670d11d5a75a03f5dfb0bcbbe0,Move Source Folder,5565,81,0,322,7,0
a77de157d587ec6fa9c97956bc6afc5f65ec732c,Move Source Folder,5564,76,0,265,55,0
1f8488f4813df2ef427a7fc347fe65828f381bd6,Move Source Folder,5564,61,0,242,66,0
3822944497a53126d02455fb667440b98541503e,Move Source Folder,5564,75,0,167,66,0
7a263be7a4b70d6ac2ff9d2fa592ef18831bdf7b,Move Source Folder,5564,57,7,110,59,0
44e08f6e19893b4f306cbdaadbc33773d2326333,Move Source Folder,5564,53,0,2136,1678,0
93d90414bd311906f63b8d3a540f0bc96dbae033,Move Source Folder,5564,19,48,2153,1657,0
1be6c3dcee234f70f369ac15057b8f349a75aa07,Move Source Folder,5564,38,11,3379,1730,0
baee4c4db62a536b526086ae1249e0d0c2a18259,Move Source Folder,5564,0,0,3424,1823,0
1382a7a4ec027e6a568bf36ea967f24f38bcf553,Move Source Folder,5564,0,0,3697,2030,0
ebb5fa6a81ee7379899a1b1779c414550bd5c728,Move Class,5196,2079,1619,1809,436,0
ebb5fa6a81ee7379899a1b1779c414550bd5c728,Rename Package,5196,2079,1619,1809,436,0
ebb5fa6a81ee7379899a1b1779c414550bd5c728,Extract Method,5196,2079,1619,1809,436,0
ebb5fa6a81ee7379899a1b1779c414550bd5c728,Pull Up Method,5196,2079,1619,1809,436,0
d81e977f109ea02fed99af766c8f9e2d5cfdc849,Inline Method,5108,36,27,1978,506,0
3337ec1f1ed78f17edc56500c2428f7d4fb69bb6,Rename Method,5062,1264,84,714,422,0
b34d212ded3c46efc7f657e3797d5d4ba89f3683,Extract Method,5053,45,93,865,1081,0
4fdce1d4ab530631113fcc820f5f335c8ba89e5b,Push Down Attribute,4869,273,207,852,1060,0
4fdce1d4ab530631113fcc820f5f335c8ba89e5b,Push Down Method,4869,273,207,852,1060,0
f91fe2c4c0207d277e39c74f052137f3a1db93e9,Extract Method,3053,191,25,1016,1091,0
888883e7515f31013818b998687ac8c9474b31c2,Pull Up Attribute,3004,205,97,824,1007,0
888883e7515f31013818b998687ac8c9474b31c2,Pull Up Method,3004,205,97,824,1007,0
e6791f6c134e7a6069644d19d8babbeb2a6dc10f,Move Source Folder,2841,0,0,842,1015,0
a466bde02f02d0b60678fe11c67a58bd065e36b3,Move Class,2809,196,752,742,352,0
a466bde02f02d0b60678fe11c67a58bd065e36b3,Move Source Folder,2809,196,752,742,352,0
a466bde02f02d0b60678fe11c67a58bd065e36b3,Rename Class,2809,196,752,742,352,0
f7756c0e6bfa8b853b0a31cbfa567d78fc8c60cd,Rename Method,2809,260,186,17456,1282,0
f7756c0e6bfa8b853b0a31cbfa567d78fc8c60cd,Extract Method,2809,260,186,17456,1282,0
97e5dc036ed63cb1de9591eac2189df2adf37a45,Extract Method,2801,355,56,17166,1292,0
d2bb86298a88300fe197636f4e00efffa7e72369,Rename Method,2623,13,13,17187,1298,0
